"","TimeStep","X10Trial_Prey","X10Trial_Predator","X20Trial_Prey","X20Trial_Predator","X30Trial_Prey","X30Trial_Predator","X40Trial_Prey","X40Trial_Predatory","X50Trial_Prey","X50Trial_Predator","X60Trial_Prey","X60Trial_Predator","X70Trial_Prey","X70Trial_Predator","X80Trial_Prey","X80Trial_Predator","X90Trial_Prey","X90Trial_Predator","X100Trial_Prey","X100Trial_Predator"
"62",62,0.888491759166913,18.7971362311758,3.27808781832661,13.9154014234146,6.66953128727635,11.8025633735858,10.3369736779779,10.565443402381,13.6719072777011,9.70594269781681,16.2670688190682,9.03446560299188,17.9155720564573,8.46913329804103,18.5795398121718,7.97432236725059,18.3473788877613,7.53564597097928,17.3878431686706,7.14798739230535
"63",63,0.89917910462692,17.8739805202543,3.47754630305973,13.2652472601371,7.21626188782969,11.2911527705967,11.3122213101077,10.1463859426085,15.079301247169,9.3533443115332,18.050839845808,8.72970659654965,19.9813927891808,8.19740600099577,20.8138553756319,7.72376548878549,20.6342611473777,7.2971230242239,19.6225309649144,6.91487610643912
"64",64,0.918295827549091,16.9963534040419,3.71175044798505,12.6481154086989,7.84471511131444,10.808075047475,12.4268839393237,9.75384480875863,16.6847425311818,9.02671899249864,20.0852224582175,8.45079980239738,22.3397154554342,7.95133129010427,23.3690130723695,7.49833855218509,23.2554059557894,7.08283761511909,22.1901634527258,6.70481967163431
"65",65,0.945878188914095,16.1621434142543,3.98463405723801,12.0626562862984,8.56579543708585,10.3524575647504,13.7001617531822,9.38736246572132,18.5156062145064,8.72599152516488,22.4049050100509,8.19799600625853,25.0313537613928,7.73139520411187,26.2905279703728,7.2986503962229,26.259344506362,6.89340999842166,25.1403856989248,6.51835973248721
"66",66,0.982179637280466,15.3693236624833,4.30090815809421,11.5075887430426,9.39218418679538,9.92351172028364,15.1541102616574,9.04660272665138,20.603057228297,8.45125897181771,25.0491327941311,7.9717715277386,28.1023516294388,7.53835273232954,29.6297798405686,7.12560324879963,29.7010491279129,6.72975592647273,28.529722060719,6.35631582366192
"67",67,1.02766119733592,14.6159529160992,4.6661589666636,10.9817023881954,10.3385865255872,9.52053958412619,16.814000161858,8.7313658055319,22.9824509514812,8.20281779547434,28.0620997169294,7.77286891495447,31.6043675634199,7.37328053490373,33.4444352537506,6.98045314185282,33.6424508395852,6.59314894154013,32.4222272350706,6.21984395625805
"68",68,1.08299096006347,13.9001755179682,5.08696706931723,10.4838596378535,11.422014608097,9.14294152718064,18.708708333555,8.44160670132276,25.6937325652932,7.98119776334905,31.4932894345345,7.60234849178482,35.5949623943708,7.23764437633185,37.7987491730553,6.86488779790472,38.1528441160639,6.48530118360695,36.8900607409199,6.11051295256163
"69",69,1.14905150778361,13.220220506499,5.57104999580963,10.012997704698,12.662109412872,8.79022526250605,20.8711344238497,8.17745792389825,28.7818114695298,7.7872046360638,35.3977177071017,7.46165402862955,40.1377180792513,7.13338583691462,42.7636572879247,6.78112757998365,43.3090860882379,6.40846880953048,42.0139009493221,6.03040449891172
"70",70,1.22695466627809,12.5744001954803,6.12743088676356,9.56813073028387,14.08150335507,8.46201679341839,23.3386330728691,7.93925785127839,32.2968752063373,7.62197425997045,39.8360060191871,7.35269685013156,45.3020833983755,7.06303437474149,48.4165305869485,6.73205701684058,49.1954540322281,6.3655902964197,47.8830729661703,5.98224509126776
"71",71,1.31806340957878,11.9611084047018,6.76663646646294,9.14835225353501,15.7062248474122,8.15807387161465,26.1534454288241,7.72758638457636,36.294590732603,7.48704149847211,44.8741864632335,7.27796408360408,51.1627983551493,7.02985282829455,54.8404082596488,6.72139701046749,55.9029637905185,6.36046888641423,54.5952047773375,5.96958111491106
"72",72,1.42402109823211,11.3788184837929,7.50092802008734,8.75283821482508,17.5661443914008,7.87830272058329,29.3631044265335,7.54331007415308,40.836117809273,7.38442853053356,50.5830965822766,7.24065859678425,57.7986885989751,7.03802712960023,62.1224483502863,6.75393131607334,63.5278659301429,6.39801450394145,62.25514069877,5.997012562569
"73",73,1.54678854193978,10.8260812371971,8.34456952989609,8.3808507135047,19.6954592381917,7.62277898770306,33.0207752975494,7.38763957187451,45.9878274368574,7.31675849743391,57.0371665675276,7.24488060006546,65.2905389346211,7.09291451153512,70.3512305269021,6.83580549961382,72.1689170399165,6.48456598636988,70.9727202299738,6.07050679529558
"74",74,1.68868966620968,10.3015228337491,9.31413752089011,8.03174276932798,22.1332097574895,7.39177417115196,37.1854744942378,7.26220317956293,51.8205746524573,7.28740239973937,64.3123252655553,7.29586403160997,73.7176446107921,7.20136899703369,79.6124033468786,6.97492255317353,81.9228594007979,6.62832179176158,80.8588604716019,6.19782183596747
"75",75,1.85246684789587,9.80384276721721,10.4288774582088,7.70496438754752,24.9238148268864,7.18578915080446,41.9220846820292,7.16914149169039,58.4083157821669,7.30066965983059,72.4826505117247,7.40028481072364,83.1524939286055,7.37216850761651,89.9819805400894,7.18146677313134,92.8773205388601,6.83991677638323,92.0191444552988,6.38907955523143
"76",76,2.0413472803925,9.3318119225646,11.7111116556746,7.40007029758774,28.1176050104667,7.00559697144394,47.3010480513141,7.11122977381797,65.8257807494736,7.36205599575173,81.6152580378406,7.56666282781036,93.6528507436242,7.61657427930592,101.516350613815,7.46859603790398,105.100053217639,7.13319408046334,104.543797001066,6.6575432119991
"77",77,2.25912204757839,8.88427079532564,13.1867034916606,7.11672983222324,31.7713199275043,6.85229773137732,53.397571449224,7.09203690636237,74.1448060609513,7.47856627980584,91.7627582536379,7.80588482559692,105.250281950773,7.94905945949819,114.23777459681,7.85335084998559,118.623073086483,7.52623345390862,118.492507940469,7.0206708974802
"78",78,2.5102399367903,8.46012790758973,14.8855821287149,6.85473954673986,35.9485184783841,6.72738938827056,60.2901102647886,7.11613260847227,83.4287988088398,7.65913481224572,102.952414682296,8.13188010652407,117.933930847372,8.38824723587893,128.113836273869,8.35783263171663,133.41983829309,8.04270672228212,133.872040507892,7.50153425467329
"79",79,2.7999184147085,8.05835846315423,16.8423306695184,6.61403935789682,40.7198253567056,6.63285960059256,68.0578081215098,7.18935839767231,93.7246343976014,7.91517048893407,115.170930690019,8.56248279407144,131.628127322378,8.95809384353178,143.029063514801,9.01069500151495,149.373239648452,8.71362801649364,150.603991633341,8.13070323955258
